Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,,,,
,Full,0.82837967401725765,4.142371811062761E-3,,,,,,,0.82837967401725765,4.142371811062761E-3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
r8,,,,,,,,,r8,,,,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,,,,
1,lora,0.83413231064237758,6.6885425172438801E-3,,,,,,1,lora,0.83413231064237758,6.6885425172438801E-3,,,,,,,,,,,
2,flat_lora,0.8325343560242886,4.3115172781182888E-3,,,,,,2,flat_lora,0.8325343560242886,4.3115172781182888E-3,,,,,,,,,,,
3,pacf,0.83509108341323068,5.1333903496993318E-3,,,,,,3,pacf,0.83509108341323068,5.1333903496993318E-3,,,,,,,,,,,
r16,,,,,,,,,r16,,,,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,,,,
1,lora,0.83061681048258207,1.1957997401004299E-3,,,,,,1,lora,0.83061681048258207,1.1957997401004299E-3,,,,,,,,,,,
2,flat_lora,0.83413231064237736,6.2135577165939879E-3,,,,,,2,flat_lora,0.83413231064237736,6.2135577165939879E-3,,,,,,,,,,,
3,pacf,0.83573026526046601,5.5538981134495647E-3,,,,,,3,pacf,0.83573026526046601,5.5538981134495647E-3,,,,,,,,,,,
full,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_mcc,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,lambda_report,wr_report
1,cola,0,full_ft,1,0.82262703739213805,,0.56338408921744298,0.68098223209381104,,,10,,,,,,t5-base,,0,1E-4,cosine,,
2,cola,0,full_ft,2,0.83029721955896396,,0.58320084227297597,0.67089831829071001,,,10,,,,,,t5-base,,0,1E-4,cosine,,
3,cola,0,full_ft,3,0.83221476510067105,,0.58841395412760999,0.62792193889617898,,,10,,,,,,t5-base,,0,1E-4,cosine,,
,,,,mean,0.82837967401725765,,,,,,,,,,,,,,,,,,
,,,,std,4.142371811062761E-3,,,,,,,,,,,,,,,,,,
r8,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,mnli_split,run_name,
1,cola,8,lora,1,0.83509108341323102,0.88758169934640496,0.31590029597282399,,,10,,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r8-lora-seed1-e10-lr0.0003-pac7e-06-pv1.0-wr0.34-drop0.05-wd0.0-mnli_na,
2,cola,8,lora,2,0.82550335570469802,0.87915006640106197,0.30218467116355802,,,10,,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r8-lora-seed2-e10-lr0.0003-pac7e-06-pv1.0-wr0.34-drop0.05-wd0.0-mnli_na,
3,cola,8,lora,3,0.84180249280920405,0.89166119500984897,0.315784901380538,,,10,,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r8-lora-seed3-e10-lr0.0003-pac7e-06-pv1.0-wr0.34-drop0.05-wd0.0-mnli_na,
,,,,mean,0.83413231064237758,,,,,,,,,,,,,,,,,,
,,,,std,6.6885425172438801E-3,,,,,,,,,,,,,,,,,,
4,cola,8,flat_lora,2,0.83509108341323102,0.88579017264276205,0.30820780992507901,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r8-flat_lora-seed2-e10-lr0.0003-pac7e-06-pv1.0-wr0.34-drop0.05-wd0.0-mnli_na,
5,cola,8,flat_lora,1,0.83604985618408401,0.88682991396426203,0.30840945243835399,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r8-flat_lora-seed1-e10-lr0.0003-pac7e-06-pv1.0-wr0.34-drop0.05-wd0.0-mnli_na,
6,cola,8,flat_lora,3,0.82646212847555101,0.88052805280528001,0.29821944236755299,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r8-flat_lora-seed3-e10-lr0.0003-pac7e-06-pv1.0-wr0.34-drop0.05-wd0.0-mnli_na,
,,,,mean,0.8325343560242886,,,,,,,,,,,,,,,,,,
,,,,std,4.3115172781182888E-3,,,,,,,,,,,,,,,,,,
7,cola,8,lora_pacf,2,0.83413231064237703,0.885808580858085,0.30407935380935602,1.2794182045397401E-4,1.2795442070057101E-4,10,0.05,1.5E-5,0.3,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r8-lora_pacf-seed2-e10-lr0.0003-pac1.5e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
8,cola,8,lora_pacf,1,0.82933844678811097,0.88381201044386404,0.33189201354980402,1.2927916314866799E-4,1.2930078444137999E-4,10,0.05,1.5E-5,0.3,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r8-lora_pacf-seed1-e10-lr0.0003-pac1.5e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
9,cola,8,lora_pacf,3,0.84180249280920405,0.89137590520079002,0.31321775913238498,1.2934528096438999E-4,1.29350649765114E-4,10,0.05,1.5E-5,0.3,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r8-lora_pacf-seed3-e10-lr0.0003-pac1.5e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
,,,,mean,0.83509108341323068,,,,,,,,,,,,,,,,,,
,,,,std,5.1333903496993318E-3,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,mnli_split,run_name,
1,cola,16,lora,1,0.82933844678811097,0.88274044795783901,0.32847437262535001,,,10,,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r16-lora-seed1-e10-lr0.0003-pac1.3e-05-pv1.0-wr0.44-drop0.05-wd0.0-mnli_na,
2,cola,16,lora,2,0.83029721955896396,0.88239202657807303,0.318564713001251,,,10,,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r16-lora-seed2-e10-lr0.0003-pac1.3e-05-pv1.0-wr0.44-drop0.05-wd0.0-mnli_na,
