Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,,,,
,Full,0.86585158770589166,1.2064744213504397E-3,,,,,,,0.86585158770589166,1.2064744213504397E-3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
r8,,,,,,,,,r8,,,,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,,,,
1,lora,0.85742910511122383,4.5816734804630997E-4,,,,,,1,lora,0.85742910511122383,4.5816734804630997E-4,,,,,,,,,,,
2,flat_lora,0.85838003056546075,4.159432404111149E-4,,,,,,2,flat_lora,0.85838003056546075,4.159432404111149E-4,,,,,,,,,,,
3,pacf,0.85950076413652532,5.0601679150093725E-4,,,,,,3,pacf,0.85950076413652532,5.0601679150093725E-4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,r16,,,,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,,,,
1,lora,0.86034980472066547,1.2707275893252486E-4,,,,,,1,lora,0.86034980472066547,1.2707275893252486E-4,,,,,,,,,,,
2,flat_lora,0.85946680251315932,1.3728227496285421E-3,,,,,,2,flat_lora,0.85946680251315932,1.3728227496285421E-3,,,,,,,,,,,
3,pacf,0.86055357446085867,5.0143735983154789E-4,,,,,,3,pacf,0.86055357446085867,5.0143735983154789E-4,,,,,,,,,,,
full,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_mcc,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,lambda_report,wr_report
1,mnli,0,full_ft,1,0.86734589913397797,0.86658842258410296,,0.120499089360237,,,1,,,,,,t5-base,,0,1E-4,cosine,,
2,mnli,0,full_ft,2,0.86581762608252599,0.86504539549237502,,0.11963849514722801,,,1,,,,,,t5-base,,0,1E-4,cosine,,
3,mnli,0,full_ft,3,0.86439123790117101,0.86374379619869401,,0.120123513042926,,,1,,,,,,t5-base,,0,1E-4,cosine,,
,,,,mean,0.86585158770589166,,,,,,,,,,,,,,,,,,
,,,,std,1.2064744213504397E-3,,,,,,,,,,,,,,,,,,
r8,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,mnli_split,run_name,
1,mnli,8,lora,1,0.85685175751400899,0.85612646244277102,0.12782238423824299,,,1,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r8-lora-seed1-e1-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_matched,
2,mnli,8,lora,2,0.85746306673458905,0.85662252217590096,0.12682312726974401,,,1,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r8-lora-seed2-e1-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_matched,
3,mnli,8,lora,3,0.85797249108507301,0.85729534222787596,0.12812092900276101,,,1,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r8-lora-seed3-e1-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_matched,
,,,,mean,0.85742910511122383,,,,,,,,,,,,,,,,,,
,,,,std,4.5816734804630997E-4,,,,,,,,,,,,,,,,,,
4,mnli,8,flat_lora,2,0.85838003056546097,0.85757770943809697,0.12715028226375499,,,1,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r8-flat_lora-seed2-e1-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_matched,
5,mnli,8,flat_lora,1,0.85787060621497702,0.85705664158553196,0.127720907330513,,,1,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r8-flat_lora-seed1-e1-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_matched,
6,mnli,8,flat_lora,3,0.85888945491594404,0.858379277424974,0.12717196345329199,,,1,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r8-flat_lora-seed3-e1-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_matched,
,,,,mean,0.85838003056546075,,,,,,,,,,,,,,,,,,
,,,,std,4.159432404111149E-4,,,,,,,,,,,,,,,,,,
7,mnli,8,lora_pacf,2,0.85878757004584805,0.85791319672227395,0.12736630439758301,1.7462812023225099E-4,1.7462836371527699E-4,1,0.05,6.0000000000000002E-6,0.4,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r8-lora_pacf-seed2-e1-lr0.0003-pac6e-06-pv1.0-wr0.4-drop0.05-wd0.0-mnli_matched,s
8,mnli,8,lora_pacf,1,0.85980641874681596,0.85910669731295497,0.128271758556365,1.74141068961106E-4,1.7412971047794099E-4,1,0.05,6.0000000000000002E-6,0.4,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r8-lora_pacf-seed1-e1-lr0.0003-pac6e-06-pv1.0-wr0.4-drop0.05-wd0.0-mnli_matched,
9,mnli,8,lora_pacf,3,0.85990830361691195,0.85930402321588495,0.12793563306331601,1.7480449933631701E-4,1.7482782501021199E-4,1,0.05,6.0000000000000002E-6,0.4,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r8-lora_pacf-seed3-e1-lr0.0003-pac6e-06-pv1.0-wr0.4-drop0.05-wd0.0-mnli_matched,
,,,,mean,0.85950076413652532,,,,,,,,,,,,,,,,,,
,,,,std,5.0601679150093725E-4,,,,,,,,,,,,,,,,,,
t16,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,mnli_split,run_name,
1,mnli,16,lora,1,0.86021395822720303,0.85954684756029698,0.12679331004619501,,,1,,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r16-lora-seed1-e1-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_matched,
