Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,,,,
,Full,0.888071895424836,6.4330129689638043E-3,,,,,,,0.888071895424836,6.4330129689638043E-3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
r8,,,,,,,,,r8,,,,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,,,,
1,lora,0.88153594771241772,4.1658656156806405E-3,,,,,,1,lora,0.88153594771241772,4.1658656156806405E-3,,,,,,,,,,,
2,flat_lora,0.87418300653594727,3.0569096297170936E-3,,,,,,2,flat_lora,0.87418300653594727,3.0569096297170936E-3,,,,,,,,,,,
3,pacf,0.88235294117647045,6.00365133035086E-3,,,,,,3,pacf,0.88235294117647045,6.00365133035086E-3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,r16,,,,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,,,,
1,lora,0.87663398692810424,2.3108064744655193E-3,,,,,,1,lora,0.87663398692810424,2.3108064744655193E-3,,,,,,,,,,,
2,flat_lora,0.87826797385620869,4.165865615680147E-3,,,,,,2,flat_lora,0.87826797385620869,4.165865615680147E-3,,,,,,,,,,,
3,pacf,0.87990196078431293,2.0012171101171043E-3,,,,,,3,pacf,0.87990196078431293,2.0012171101171043E-3,,,,,,,,,,,
full,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_mcc,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,lambda_report,wr_report
1,mrpc,0,full_ft,1,0.88480392156862697,0.91797556719022599,,0.33594268560409501,,,10,,,,,,t5-base,,0,1E-4,cosine,,
2,mrpc,0,full_ft,2,0.88235294117647001,0.91608391608391604,,0.29920786619186401,,,10,,,,,,t5-base,,0,1E-4,cosine,,
3,mrpc,0,full_ft,3,0.89705882352941102,0.92553191489361697,,0.25973525643348599,,,10,,,,,,t5-base,,0,1E-4,cosine,,
,,,,mean,0.888071895424836,,,,,,,,,,,,,,,,,,
,,,,std,6.4330129689638043E-3,,,,,,,,,,,,,,,,,,
r8,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,mnli_split,run_name,
1,mrpc,8,lora,1,0.88725490196078405,0.91901408450704203,0.155812367796897,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r8-lora-seed1-e10-lr0.0003-pac2.216872015814674e-05-pv1.0-wr0.34196894478376905-drop0.05-wd0.0-mnli_na,
2,mrpc,8,lora,2,0.87745098039215597,0.91258741258741205,0.19365116953849701,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r8-lora-seed2-e10-lr0.0003-pac2.216872015814674e-05-pv1.0-wr0.34196894478376905-drop0.05-wd0.0-mnli_na,
3,mrpc,8,lora,3,0.87990196078431304,0.91507798960138598,0.161987885832786,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r8-lora-seed3-e10-lr0.0003-pac2.216872015814674e-05-pv1.0-wr0.34196894478376905-drop0.05-wd0.0-mnli_na,
,,,,mean,0.88153594771241772,,,,,,,,,,,,,,,,,,
,,,,std,4.1658656156806405E-3,,,,,,,,,,,,,,,,,,
4,mrpc,8,flat_lora,2,0.87009803921568596,0.90814558058925399,0.19055405259132299,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r8-flat_lora-seed2-e10-lr0.0003-pac2.216872015814674e-05-pv1.0-wr0.34196894478376905-drop0.05-wd0.0-mnli_na,
5,mrpc,8,flat_lora,1,0.875,0.91099476439790505,0.17320498824119501,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r8-flat_lora-seed1-e10-lr0.0003-pac2.216872015814674e-05-pv1.0-wr0.34196894478376905-drop0.05-wd0.0-mnli_na,
6,mrpc,8,flat_lora,3,0.87745098039215597,0.91228070175438503,0.16117787361145,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r8-flat_lora-seed3-e10-lr0.0003-pac2.216872015814674e-05-pv1.0-wr0.34196894478376905-drop0.05-wd0.0-mnli_na,
,,,,mean,0.87418300653594727,,,,,,,,,,,,,,,,,,
,,,,std,3.0569096297170936E-3,,,,,,,,,,,,,,,,,,
7,mrpc,8,lora_pacf,2,0.88970588235294101,0.92146596858638696,0.15844623744487699,8.4110736554744096E-5,8.4122801138684599E-5,10,0.05,2.0000000000000002E-5,0.3,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r8-lora_pacf-seed2-e10-lr0.0003-pac2e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
8,mrpc,8,lora_pacf,1,0.88235294117647001,0.91549295774647799,0.16788013279437999,8.4189582445652597E-5,8.41726664624183E-5,10,0.05,2.0000000000000002E-5,0.3,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r8-lora_pacf-seed1-e10-lr0.0003-pac2e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
9,mrpc,8,lora_pacf,3,0.875,0.91005291005291,0.173363357782363,8.2650867114269605E-5,8.2626841426674801E-5,10,0.05,2.0000000000000002E-5,0.3,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r8-lora_pacf-seed3-e10-lr0.0003-pac2e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
,,,,mean,0.88235294117647045,,,,,,,,,,,,,,,,,,
,,,,std,6.00365133035086E-3,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,mnli_split,run_name,
1,mrpc,16,lora,1,0.87990196078431304,0.91478260869565198,0.16239407658576899,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r16-lora-seed1-e10-lr0.0003-pac8e-06-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
