Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,,,,
,Full,0.93355299286106508,1.0462156446082701E-3,,,,,,,0.93355299286106508,1.0462156446082701E-3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
r8,,,,,,,,,r8,,,,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,,,,
1,lora,0.93398010860943259,7.5226237146469252E-4,,,,,,1,lora,0.93398010860943259,7.5226237146469252E-4,,,,,,,,,,,
2,flat_lora,0.93391909207395163,1.4945937780128131E-4,,,,,,2,flat_lora,0.93391909207395163,1.4945937780128131E-4,,,,,,,,,,,
3,pacf,0.93422417475135733,1.1217753560833004E-3,,,,,,3,pacf,0.93422417475135733,1.1217753560833004E-3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,r16,,,,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,,,,
1,lora,0.93471230703520602,1.081215763418853E-3,,,,,,1,lora,0.93471230703520602,1.081215763418853E-3,,,,,,,,,,,
2,flat_lora,0.93434620782231959,6.0403288404473196E-4,,,,,,2,flat_lora,0.93434620782231959,6.0403288404473196E-4,,,,,,,,,,,
3,pacf,0.93526145585453602,1.0173489535992136E-3,,,,,,3,pacf,0.93526145585453602,1.0173489535992136E-3,,,,,,,,,,,
full,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_mcc,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,lambda_report,wr_report
1,qnli,0,full_ft,1,0.93263774482884798,,,3.2826710492372499E-2,,,1,,,,,,t5-base,,0,1E-4,cosine,,
2,qnli,0,full_ft,2,0.93300384404173498,,,3.3235967159271199E-2,,,1,,,,,,t5-base,,0,1E-4,cosine,,
3,qnli,0,full_ft,3,0.93501738971261195,,,3.1572960317134802E-2,,,1,,,,,,t5-base,,0,1E-4,cosine,,
,,,,mean,0.93355299286106508,,,,,,,,,,,,,,,,,,
,,,,std,1.0462156446082701E-3,,,,,,,,,,,,,,,,,,
r8,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,mnli_split,run_name,
1,qnli,8,lora,1,0.93300384404173498,0.93350290697674398,3.4050125628709703E-2,,,1,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r8-lora-seed1-e1-lr0.0003-pac2e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
2,qnli,8,lora,2,0.93483434010616795,0.93534326189611305,3.4124009311199098E-2,,,1,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r8-lora-seed2-e1-lr0.0003-pac2e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
3,qnli,8,lora,3,0.93410214168039496,0.93442622950819598,3.3811789005994797E-2,,,1,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r8-lora-seed3-e1-lr0.0003-pac2e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
,,,,mean,0.93398010860943259,,,,,,,,,,,,,,,,,,
,,,,std,7.5226237146469252E-4,,,,,,,,,,,,,,,,,,
4,qnli,8,flat_lora,2,0.93391909207395196,0.93439941849899999,3.4106548875570297E-2,,,1,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r8-flat_lora-seed2-e1-lr0.0003-pac2e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
5,qnli,8,flat_lora,1,0.93410214168039496,0.93425858290723096,3.3285778015851898E-2,,,1,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r8-flat_lora-seed1-e1-lr0.0003-pac2e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
6,qnli,8,flat_lora,3,0.93373604246750797,0.93413391557496295,3.4097794443368898E-2,,,1,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r8-flat_lora-seed3-e1-lr0.0003-pac2e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
,,,,mean,0.93391909207395163,,,,,,,,,,,,,,,,,,
,,,,std,1.4945937780128131E-4,,,,,,,,,,,,,,,,,,
7,qnli,8,lora_pacf,2,0.93556653853194205,0.93616249546608599,3.4098770469427102E-2,4.6442061954853499E-5,4.6424616396037498E-5,1,0.05,2.0000000000000002E-5,0.3,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r8-lora_pacf-seed2-e1-lr0.0003-pac2e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
8,qnli,8,lora_pacf,1,0.93428519128683796,0.93476285662365899,3.4005716443061801E-2,4.8816967999039102E-5,4.8818151935253203E-5,1,0.05,2.0000000000000002E-5,0.3,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r8-lora_pacf-seed1-e1-lr0.0003-pac2e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
9,qnli,8,lora_pacf,3,0.93282079443529198,0.93313900528329297,3.3946763724088599E-2,4.6414563590599801E-5,4.6424616396037498E-5,1,0.05,2.0000000000000002E-5,0.3,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r8-lora_pacf-seed3-e1-lr0.0003-pac2e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
,,,,mean,0.93422417475135733,,,,,,,,,,,,,,,,,,
,,,,std,1.1217753560833004E-3,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,mnli_split,run_name,
1,qnli,16,lora,1,0.93318689364817797,0.93362429532642299,3.34360748529434E-2,,,1,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r16-lora-seed1-e1-lr0.0003-pac4e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
