Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,,,,
,Full,0.93692660550458662,2.4773473617764759E-3,,,,,,,0.93692660550458662,2.4773473617764759E-3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
r8,,,,,,,,,r8,,,,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,,,,
1,lora,0.94571865443425029,2.8605943323958835E-3,,,,,,1,lora,0.94571865443425029,2.8605943323958835E-3,,,,,,,,,,,
2,flat_lora,0.94227828746177356,6.3735978595310357E-3,,,,,,2,flat_lora,0.94227828746177356,6.3735978595310357E-3,,,,,,,,,,,
3,pacf,0.9487767584097857,4.8049713646699729E-3,,,,,,3,pacf,0.9487767584097857,4.8049713646699729E-3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,r16,,,,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,,,,
1,lora,0.94533639143730819,1.0812030293370391E-3,,,,,,1,lora,0.94533639143730819,1.0812030293370391E-3,,,,,,,,,,,
2,flat_lora,0.94610091743119229,4.2908914985938891E-3,,,,,,2,flat_lora,0.94610091743119229,4.2908914985938891E-3,,,,,,,,,,,
3,pacf,0.94762996941895972,3.8983329614621976E-3,,,,,,3,pacf,0.94762996941895972,3.8983329614621976E-3,,,,,,,,,,,
full,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_mcc,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,lambda_report,wr_report
1,sst2,0,full_ft,1,0.93807339449541205,,,0.22445069253444599,,,10,,,,,,t5-base,,0,1E-4,cosine,,
2,sst2,0,full_ft,2,0.93922018348623804,,,0.21789012849330899,,,10,,,,,,t5-base,,0,1E-4,cosine,,
3,sst2,0,full_ft,3,0.93348623853210999,,,0.21680364012718201,,,10,,,,,,t5-base,,0,1E-4,cosine,,
,,,,mean,0.93692660550458662,,,,,,,,,,,,,,,,,,
,,,,std,2.4773473617764759E-3,,,,,,,,,,,,,,,,,,
r8,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,mnli_split,run_name,
1,sst2,8,lora,1,0.94954128440366903,0.95100222717149197,0.118997432291507,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r8-lora-seed1-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
2,sst2,8,lora,2,0.942660550458715,0.944567627494456,0.122699700295925,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r8-lora-seed2-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
3,sst2,8,lora,3,0.94495412844036697,0.94630872483221395,0.112878337502479,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r8-lora-seed3-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
,,,,mean,0.94571865443425029,,,,,,,,,,,,,,,,,,
,,,,std,2.8605943323958835E-3,,,,,,,,,,,,,,,,,,
4,sst2,8,flat_lora,2,0.94495412844036697,0.94642857142857095,0.122482940554618,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r8-flat_lora-seed2-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
5,sst2,8,flat_lora,1,0.94839449541284404,0.94994438264738601,0.122610941529273,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r8-flat_lora-seed1-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
6,sst2,8,flat_lora,3,0.93348623853210999,0.93555555555555503,0.115664109587669,,,10,0.05,,,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r8-flat_lora-seed3-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
,,,,mean,0.94227828746177356,,,,,,,,,,,,,,,,,,
,,,,std,6.3735978595310357E-3,,,,,,,,,,,,,,,,,,
7,sst2,8,lora_pacf,2,0.94724770642201805,0.948888888888888,0.105758726596832,1.3527809794432099E-4,1.3528462328941899E-4,10,0.05,3.4999999999999997E-5,0.3,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r8-lora_pacf-seed2-e10-lr0.0003-pac3.5e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
8,sst2,8,lora_pacf,1,0.95527522935779796,0.95642458100558603,0.10413730144500701,1.3316700271531599E-4,1.3319027969260601E-4,10,0.05,3.4999999999999997E-5,0.3,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r8-lora_pacf-seed1-e10-lr0.0003-pac3.5e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
9,sst2,8,lora_pacf,3,0.94380733944954098,0.94537346711259695,0.115970849990844,1.3499610807770899E-4,1.3498543134701701E-4,10,0.05,3.4999999999999997E-5,0.3,32,8,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r8-lora_pacf-seed3-e10-lr0.0003-pac3.5e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
,,,,mean,0.9487767584097857,,,,,,,,,,,,,,,,,,
,,,,std,4.8049713646699729E-3,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,,,,,,,,,,,,,,,
,task,rank,variant,seed,eval_accuracy,eval_f1,eval_loss,kl_eff_per_dim,kl_full_per_dim,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,mnli_split,run_name,
1,sst2,16,lora,1,0.94610091743119196,0.94736842105263097,0.112018503248691,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r16-lora-seed1-e10-lr0.0003-pac1.7e-05-pv1.0-wr0.36-drop0.05-wd0.0-mnli_na,
2,sst2,16,lora,2,0.94380733944954098,0.94512877939529605,0.11793010681867599,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r16-lora-seed2-e10-lr0.0003-pac1.7e-05-pv1.0-wr0.36-drop0.05-wd0.0-mnli_na,
