timestamp,run_name,task,rank,variant,seed,epochs,eval_accuracy,eval_f1,eval_mcc,eval_loss,kl_eff_per_dim,kl_full_per_dim,pacf_reg,pacf_weight,pac_cons_sigma,l2_per_dim,flat_sigma_max,pac_lambda,pac_cons_lambda,l2_lambda,reg_warmup_ratio,lora_alpha,lora_r,model_name,lora_dropout,weight_decay,lr,scheduler,mnli_split
20260505-041753,cola-r8-lora_pacf_cons-seed1-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,cola,8,lora_pacf_cons,1,10,0.841802493,0.89194499,0.613310905,0.299254686,,,0.005531163,3.00E-05,0.03,,0.05,,3.00E-05,,0.3,32,8,t5-base,0.05,0,0.0003,cosine,na
20260505-054844,cola-r8-lora_pacf_cons-seed2-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,cola,8,lora_pacf_cons,2,10,0.834132311,0.886109282,0.594139555,0.303469419,,,0.188074529,3.00E-05,0.03,,0.05,,3.00E-05,,0.3,32,8,t5-base,0.05,0,0.0003,cosine,na
20260505-071933,cola-r8-lora_pacf_cons-seed3-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,cola,8,lora_pacf_cons,3,10,0.836049856,0.888015717,0.598452633,0.314569086,,,0.570910037,3.00E-05,0.03,,0.05,,3.00E-05,,0.3,32,8,t5-base,0.05,0,0.0003,cosine,na
20260505-085028,cola-r8-lora_pacf_cons-seed4-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,cola,8,lora_pacf_cons,4,10,0.831255992,0.883289125,0.58819557,0.319979876,,,0.046869535,3.00E-05,0.03,,0.05,,3.00E-05,,0.3,32,8,t5-base,0.05,0,0.0003,cosine,na
20260505-082723,cola-r8-lora_pacf_cons-seed5-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,cola,8,lora_pacf_cons,5,10,0.832214765,0.884488449,0.589687103,0.322858512,,,0.011567796,3.00E-05,0.03,,0.05,,3.00E-05,,0.3,32,8,t5-base,0.05,0,0.0003,cosine,na
20260505-065711,cola-r8-lora_pacf_cons-seed6-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,cola,8,lora_pacf_cons,6,10,0.837008629,0.888157895,0.601399194,0.328106165,,,0.236196041,3.00E-05,0.03,,0.05,,3.00E-05,,0.3,32,8,t5-base,0.05,0,0.0003,cosine,na
20260505-071116,cola-r8-lora_pacf_cons-seed7-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,cola,8,lora_pacf_cons,7,10,0.826462128,0.880370126,0.575366448,0.323232532,,,0.013172859,3.00E-05,0.03,,0.05,,3.00E-05,,0.3,32,8,t5-base,0.05,0,0.0003,cosine,na
20260505-061943,cola-r8-lora_pacf_cons-seed8-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,cola,8,lora_pacf_cons,8,10,0.832214765,0.884335757,0.58993145,0.301132023,,,0.192947567,3.00E-05,0.03,,0.05,,3.00E-05,,0.3,32,8,t5-base,0.05,0,0.0003,cosine,na
20260505-071108,cola-r8-lora_pacf_cons-seed9-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,cola,8,lora_pacf_cons,9,10,0.825503356,0.880105402,0.572238587,0.305018663,,,0.055246811,3.00E-05,0.03,,0.05,,3.00E-05,,0.3,32,8,t5-base,0.05,0,0.0003,cosine,na
20260505-061943,cola-r8-lora_pacf_cons-seed10-e10-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,cola,8,lora_pacf_cons,10,10,0.829338447,0.882740448,0.582015956,0.312551141,,,0.02623236,3.00E-05,0.03,,0.05,,3.00E-05,,0.3,32,8,t5-base,0.05,0,0.0003,cosine,na
